Student_ID,Attendance_Percent,Average_Marks,Assignments_Submitted,Late_Submissions,Previous_Failures,Attendance_Trend,Absenteeism_Risk,Late_Submission_Risk,Dropout_Risk
64,91,32,7,0,4,Increasing,Medium,Low,Low
65,69,55,10,6,3,Increasing,High,High,High
66,82,32,7,9,2,Increasing,Low,High,Low
67,53,31,6,2,0,Decreasing,High,Low,High
68,55,56,3,2,1,Increasing,Low,Low,Low
69,89,93,5,2,2,Decreasing,Medium,Low,High
70,70,92,3,7,1,Stable,Low,High,Medium
71,58,71,6,8,3,Increasing,High,High,High
72,44,90,10,9,0,Stable,High,Low,High
73,74,21,0,1,3,Stable,Medium,Low,High
74,94,75,4,9,3,Decreasing,High,High,Medium
75,38,79,9,9,3,Increasing,Medium,High,High
76,30,42,9,0,3,Stable,High,Low,Low
77,37,59,3,8,1,Increasing,High,High,Low
78,92,83,10,5,4,Stable,Medium,Low,Low
79,40,42,6,8,1,Stable,High,High,Low
80,37,48,8,5,2,Decreasing,High,Low,Low
81,64,97,4,1,3,Increasing,Low,High,Medium
82,64,70,3,0,2,Decreasing,High,High,High
83,62,88,8,7,1,Decreasing,Low,Low,Medium
84,34,50,4,2,3,Decreasing,Medium,Low,Medium
85,70,69,8,0,1,Decreasing,Low,Low,Medium
86,57,39,7,7,3,Decreasing,High,High,High
87,36,74,3,0,1,Stable,High,High,High
88,41,21,10,7,0,Increasing,High,High,High
89,63,44,10,0,4,Increasing,Low,Low,Low
90,62,32,6,8,4,Decreasing,Low,High,High
91,77,89,4,8,3,Increasing,High,High,High
92,52,86,9,8,0,Stable,High,Low,Medium
93,91,77,3,2,2,Decreasing,Low,High,Medium
94,66,94,4,3,0,Stable,High,Low,Medium
95,73,83,4,4,3,Stable,High,High,High
96,64,88,10,5,0,Decreasing,Low,Low,Medium
97,94,78,8,8,2,Stable,Low,Low,Medium
98,76,79,8,10,3,Decreasing,Low,High,High
99,32,81,5,3,4,Stable,High,Low,Medium
100,30,35,3,5,0,Increasing,High,High,High
101,34,87,1,0,4,Increasing,High,High,Low
102,43,34,2,1,4,Increasing,High,Low,High
103,56,74,1,7,1,Decreasing,High,Low,Medium
104,38,54,4,3,2,Stable,Medium,Low,Medium
105,44,74,5,9,0,Stable,Medium,High,Medium
106,71,33,10,6,4,Increasing,High,High,Low
107,80,68,4,3,4,Increasing,Medium,High,High
108,92,26,1,8,2,Decreasing,High,High,High
109,81,49,4,8,4,Decreasing,Medium,High,High
110,33,68,8,3,4,Stable,High,Low,Low
111,52,35,3,7,4,Decreasing,High,High,Low
112,44,70,9,5,4,Decreasing,High,Low,Low
113,72,91,1,0,1,Decreasing,Low,Low,Medium
114,58,99,2,6,1,Increasing,High,High,Low
115,65,61,2,0,3,Increasing,Medium,Low,High
116,42,36,8,2,0,Stable,High,Low,Low
117,61,82,3,7,2,Decreasing,Medium,High,Low
118,88,64,0,8,3,Increasing,Low,High,Low
119,57,96,0,2,1,Decreasing,High,Low,Medium
120,95,26,6,0,1,Stable,Low,Low,Low
121,71,46,6,0,1,Decreasing,High,Low,High
122,74,29,1,6,3,Stable,Medium,High,High
123,91,53,8,4,1,Stable,Medium,High,Low
124,86,55,8,0,3,Increasing,Low,Low,High
125,35,44,4,5,1,Decreasing,High,High,High
126,57,25,2,5,4,Increasing,High,High,High
127,57,43,2,3,4,Decreasing,High,Low,Medium
128,73,37,2,6,0,Decreasing,High,High,High
129,59,25,5,6,1,Stable,High,High,High
130,91,48,3,8,0,Stable,Low,High,Low
131,91,44,7,0,3,Decreasing,Low,Low,High
132,30,74,10,4,0,Increasing,High,High,Medium
133,56,65,10,9,1,Stable,High,High,Low
134,91,43,10,2,3,Stable,Low,Low,Medium
135,32,94,4,6,3,Decreasing,High,High,High
136,99,45,0,3,4,Decreasing,Low,High,High
137,56,47,8,3,3,Stable,High,Low,Medium
138,38,22,0,0,3,Increasing,High,Low,Low
139,91,94,5,0,0,Stable,Medium,Low,Low
140,66,57,0,9,3,Decreasing,Low,High,High
141,80,80,2,1,2,Stable,High,Low,High
142,73,97,9,1,4,Decreasing,High,Low,High
143,53,70,4,0,4,Stable,High,Low,Low
144,88,67,9,7,3,Decreasing,Medium,High,Medium
145,61,40,6,5,0,Decreasing,Medium,High,High
146,81,73,9,5,4,Increasing,Medium,Low,Low
147,91,75,7,9,4,Decreasing,High,High,Medium
148,87,78,8,9,2,Stable,Medium,High,Low
149,81,91,5,8,3,Decreasing,Low,Low,Medium
150,41,70,10,4,4,Stable,High,Low,Medium
151,68,39,8,3,4,Increasing,Low,Low,Medium
152,31,78,7,10,4,Stable,High,Low,Low
153,32,90,8,5,4,Increasing,High,High,Low
154,85,28,9,7,0,Increasing,Low,Low,Low
155,88,20,3,0,1,Decreasing,Low,High,High
156,31,48,8,6,2,Increasing,Low,High,Low
157,31,82,6,7,0,Stable,High,Low,Medium
158,83,91,4,8,2,Increasing,Medium,High,Low
159,30,75,4,10,4,Increasing,High,High,High
160,48,87,0,7,2,Decreasing,High,High,High
161,31,54,1,6,3,Stable,High,Low,High
162,82,22,9,2,3,Increasing,Low,High,High
163,73,26,2,1,1,Decreasing,Medium,High,High
164,61,46,7,2,1,Decreasing,High,Low,High
165,99,20,5,3,2,Stable,Low,Low,High
166,61,99,9,3,0,Decreasing,High,Low,High
167,97,90,10,5,0,Increasing,High,Low,Low
168,84,63,4,6,4,Decreasing,Low,High,High
169,85,60,0,3,0,Stable,Medium,Low,Low
170,46,94,10,9,1,Stable,High,Low,Low
171,67,61,8,5,0,Decreasing,High,High,High
172,53,52,2,8,4,Increasing,High,High,High
173,98,69,2,5,3,Decreasing,High,High,High
174,99,82,1,2,0,Stable,Low,Low,Low
175,40,56,3,0,0,Decreasing,High,High,Medium
176,45,78,1,10,1,Decreasing,High,High,High
177,88,67,8,9,2,Increasing,Medium,Low,High
178,99,24,9,9,3,Decreasing,Medium,High,High
179,32,67,6,4,2,Increasing,Medium,High,High
180,49,22,7,9,4,Decreasing,High,High,Low
181,88,66,2,9,4,Decreasing,High,High,High
182,65,81,5,2,2,Increasing,Low,Low,Medium
183,48,33,9,7,1,Increasing,Medium,High,High
184,96,82,5,9,1,Stable,Medium,High,Low
185,48,80,0,0,1,Increasing,High,Low,Medium
186,49,50,5,10,3,Decreasing,High,Low,High
187,81,36,2,1,4,Stable,Medium,Low,High
188,62,43,10,2,4,Increasing,Medium,Low,High
189,69,42,2,2,4,Increasing,Medium,Low,Low
190,68,69,2,7,3,Stable,Medium,High,High
191,30,97,9,4,4,Decreasing,High,High,Low
192,40,98,10,7,2,Decreasing,High,High,High
193,86,98,10,10,0,Stable,Low,Low,Medium
194,79,89,9,10,3,Decreasing,High,Low,Low
195,52,46,10,5,0,Increasing,High,Low,Medium
196,60,34,7,1,2,Decreasing,High,Low,Low
197,71,69,4,10,1,Increasing,Medium,High,High
198,36,55,3,3,1,Decreasing,Medium,Low,Low
199,45,27,8,8,1,Increasing,High,Low,Medium
200,89,98,8,3,3,Stable,Medium,Low,Medium
201,31,22,0,4,1,Increasing,High,High,High
202,30,81,1,4,3,Decreasing,High,High,High
203,77,66,7,9,3,Increasing,Medium,Low,Low
204,41,96,4,7,0,Decreasing,High,High,High
205,98,80,6,5,1,Decreasing,Medium,Low,Low
206,66,51,0,9,4,Increasing,High,High,High
207,61,32,9,6,1,Decreasing,High,High,High
208,38,20,4,5,1,Stable,High,High,Low
209,48,53,10,4,1,Decreasing,High,High,Low
210,77,81,2,4,4,Stable,Low,High,High
211,32,98,9,2,4,Stable,High,Low,Low
212,49,97,1,6,3,Decreasing,High,High,Low
213,53,90,1,9,4,Stable,High,High,Low
214,83,50,8,4,3,Stable,Medium,Low,Low
215,62,83,3,6,0,Increasing,High,High,Low
216,53,44,3,1,3,Stable,High,Low,Medium
217,65,57,6,8,1,Stable,Medium,High,Low
218,67,33,9,7,2,Stable,High,High,High
219,54,27,9,4,2,Stable,High,High,High
220,47,73,1,1,1,Stable,High,High,Medium
221,95,21,2,5,3,Decreasing,Medium,High,Low
222,83,97,2,7,1,Stable,Medium,Low,High
223,64,75,5,6,4,Decreasing,Medium,High,Low
224,90,80,2,7,3,Decreasing,Low,High,High
225,70,41,10,3,1,Decreasing,Low,Low,Medium
226,62,54,4,2,4,Increasing,High,High,High
227,97,35,3,6,4,Increasing,Medium,High,High
228,62,69,2,1,3,Decreasing,Low,Low,Low
229,43,62,7,4,0,Increasing,High,Low,Medium
230,50,36,9,6,0,Stable,High,High,Low
231,77,99,2,0,4,Decreasing,Low,Low,High
232,49,77,5,3,0,Decreasing,High,Low,Low
233,37,21,6,1,4,Decreasing,High,Low,Low
234,36,23,6,5,0,Increasing,Medium,Low,Medium
235,96,58,1,0,4,Increasing,Low,High,High
236,46,25,2,6,4,Increasing,High,High,High
237,62,88,9,2,4,Stable,Medium,Low,Medium
238,77,88,9,0,4,Increasing,Low,High,High
239,88,39,3,7,2,Decreasing,Low,Low,Low
240,51,83,6,6,0,Increasing,Low,High,Low
241,59,35,1,1,4,Increasing,High,Low,High
242,67,70,2,6,1,Increasing,Low,High,Low
243,80,56,6,2,3,Increasing,Low,Low,High
244,83,92,6,8,1,Decreasing,High,Low,Medium
245,37,88,9,7,1,Increasing,High,Low,Medium
246,56,61,2,4,2,Decreasing,High,High,High
247,56,76,0,6,0,Increasing,Low,High,High
248,50,85,2,2,2,Stable,Medium,High,High
249,59,28,4,0,0,Stable,High,High,Low
250,57,83,6,0,4,Decreasing,High,High,Low
251,93,41,3,10,2,Decreasing,Medium,Low,Low
252,98,53,10,1,3,Stable,Low,Low,Medium
253,90,74,10,7,0,Stable,High,High,Medium
254,77,48,0,0,2,Increasing,Low,Low,Medium
255,48,57,5,10,3,Stable,High,High,Low
256,33,37,1,4,1,Decreasing,High,High,High
257,64,90,2,8,4,Decreasing,High,Low,High
258,93,84,3,8,4,Stable,Low,High,High
259,78,20,5,1,1,Decreasing,Low,Low,Low
260,46,23,5,6,2,Increasing,High,High,High
261,73,23,6,10,1,Increasing,High,Low,Low
262,59,46,4,0,3,Stable,High,Low,High
263,75,62,6,2,0,Decreasing,Low,Low,Low
264,35,78,1,5,2,Stable,High,High,High
265,66,51,0,8,0,Decreasing,Medium,High,Low
266,53,52,9,9,1,Decreasing,High,High,Medium
267,75,47,7,1,4,Decreasing,Low,Low,High
268,82,74,0,6,0,Increasing,Medium,High,High
269,89,79,1,3,0,Decreasing,Low,Low,Medium
270,92,89,10,1,4,Increasing,Medium,Low,Low
271,61,81,9,2,0,Decreasing,High,Low,Low
272,62,99,5,5,0,Stable,High,Low,Low
273,96,53,0,9,4,Increasing,Low,High,High
274,47,75,9,8,4,Increasing,Medium,High,Medium
275,54,32,2,7,1,Increasing,High,High,Low
276,83,75,6,9,1,Stable,Medium,High,Low
277,87,37,7,10,0,Increasing,Low,High,High
278,96,73,3,8,2,Stable,Low,High,Low
279,75,96,2,3,1,Decreasing,Low,Low,Low
280,53,62,0,3,1,Decreasing,Low,Low,Medium
281,61,58,8,8,2,Stable,Low,High,High
282,76,80,9,7,2,Increasing,Medium,High,High
283,52,61,5,1,4,Increasing,High,Low,Low
284,95,98,5,7,1,Stable,Low,Low,Medium
285,56,37,8,0,3,Decreasing,High,Low,High
286,31,42,0,8,3,Stable,High,High,Low
287,46,73,5,8,0,Increasing,High,High,Low
288,62,49,4,7,1,Increasing,High,High,Low
289,38,77,10,10,3,Increasing,Low,Low,High
290,72,87,5,4,1,Increasing,Low,High,Low
291,77,86,10,4,1,Decreasing,Medium,High,High
292,68,90,7,2,3,Decreasing,High,Low,High
293,71,37,4,4,1,Decreasing,High,Low,High
294,55,26,1,3,2,Increasing,Medium,Low,Low
295,79,59,1,0,0,Increasing,Low,Low,Low
296,54,89,9,8,4,Increasing,High,High,High
297,53,84,4,9,3,Stable,High,High,High
298,42,87,2,3,4,Increasing,High,Low,Low
299,89,68,9,2,0,Decreasing,Medium,Low,High
300,36,71,2,5,2,Decreasing,High,High,High
301,86,48,7,0,2,Decreasing,Medium,Low,Medium
302,65,40,6,4,2,Stable,High,High,High
303,74,97,0,6,2,Decreasing,High,High,High
304,49,28,4,1,3,Stable,High,High,Medium
305,94,66,8,9,3,Stable,Low,Low,High
306,37,95,3,8,1,Stable,High,Low,Low
307,45,61,0,5,1,Increasing,High,High,Medium
308,43,70,7,1,0,Increasing,High,High,High
309,44,75,4,7,1,Decreasing,High,High,Low
310,95,70,1,7,0,Decreasing,Low,High,Medium
311,61,89,0,0,0,Stable,High,Low,Low
312,92,39,2,0,0,Increasing,Medium,Low,Low
313,80,46,8,0,2,Decreasing,High,Low,Low
314,54,57,0,3,4,Decreasing,High,High,Low
315,87,91,3,3,4,Increasing,Low,High,Medium
316,92,84,7,7,3,Stable,High,High,Medium
317,91,73,7,0,0,Decreasing,High,Low,High
318,51,43,9,9,2,Decreasing,High,High,Low
319,87,66,10,2,1,Increasing,Medium,High,High
320,87,90,10,10,1,Increasing,Medium,High,Low
321,78,82,7,0,3,Stable,Low,Low,High
322,81,76,9,8,3,Stable,Medium,Low,Medium
323,71,74,7,9,0,Decreasing,Low,High,High
324,99,79,3,8,0,Stable,Low,High,High
325,44,81,7,6,1,Decreasing,High,High,High
326,83,49,8,7,1,Decreasing,Medium,High,High
327,89,41,6,0,1,Increasing,Low,Low,Medium
328,37,94,1,4,1,Decreasing,High,High,Medium
329,82,48,8,1,4,Increasing,Medium,Low,Medium
330,89,60,10,0,0,Decreasing,Low,High,Medium
331,34,61,7,2,0,Decreasing,Medium,Low,Low
332,97,84,4,6,1,Decreasing,Low,Low,Low
333,35,50,2,0,2,Stable,Medium,High,High
334,76,49,6,10,1,Stable,Low,High,High
335,84,37,1,1,3,Increasing,Low,Low,Medium
336,69,36,2,1,2,Decreasing,High,Low,Low
337,81,57,8,3,3,Increasing,Low,Low,High
338,45,33,3,2,2,Increasing,High,Low,Low
339,42,98,3,2,3,Decreasing,High,Low,High
340,59,75,2,9,1,Stable,High,High,High
341,48,41,4,4,1,Stable,High,High,Low
342,46,86,2,2,2,Increasing,High,Low,High
343,92,75,8,10,3,Stable,Medium,Low,Medium
344,48,38,2,6,4,Decreasing,High,High,Low
345,87,76,1,4,2,Decreasing,Low,Low,High
346,84,63,4,3,2,Stable,Medium,Low,Medium
347,91,54,5,2,0,Stable,Low,Low,Medium
348,52,20,0,3,2,Increasing,High,Low,Low
349,38,71,10,1,4,Stable,High,Low,Low
350,41,89,5,0,1,Increasing,High,Low,High
351,30,56,9,2,3,Decreasing,High,High,Low
352,87,84,2,10,0,Decreasing,Low,High,Medium
353,30,70,3,1,3,Decreasing,High,High,High
354,63,20,5,0,1,Stable,Low,Low,Medium
355,77,40,7,0,2,Stable,Medium,Low,Low
356,30,72,8,1,4,Stable,High,Low,Low
357,45,35,5,8,0,Increasing,High,High,High
358,90,80,6,4,4,Increasing,Medium,High,Medium
359,93,73,4,8,4,Increasing,Low,High,Low
360,92,59,8,7,4,Decreasing,Low,High,Low
361,98,45,3,10,4,Increasing,Medium,High,Low
362,51,99,9,5,1,Stable,Medium,Low,Medium
363,96,84,10,0,4,Stable,Low,Low,Low
364,55,93,5,9,4,Decreasing,High,High,Low
365,45,83,4,4,1,Stable,High,High,Low
366,80,62,0,0,3,Stable,Low,Low,High
367,86,36,4,6,1,Stable,Low,High,Low
368,58,78,4,9,2,Increasing,High,High,Low
369,98,42,8,10,1,Increasing,Low,Low,Medium
370,76,26,0,7,3,Stable,Low,Low,Low
371,91,63,4,7,2,Stable,Medium,Low,Low
372,98,72,6,6,2,Stable,Low,Low,Medium
373,45,90,10,1,0,Stable,High,Low,Low
374,77,98,5,4,4,Increasing,Low,Low,High
375,68,53,5,3,2,Decreasing,Low,Low,Medium
376,62,65,6,4,2,Stable,Low,High,High
377,52,87,5,9,3,Increasing,High,High,High
378,39,97,4,8,2,Stable,Low,High,Low
379,98,97,9,3,3,Decreasing,Low,Low,High
380,63,35,4,7,4,Increasing,High,High,Low
381,81,90,8,7,0,Increasing,Low,High,Medium
382,39,38,7,1,0,Decreasing,High,Low,Low
383,48,21,9,5,4,Decreasing,High,High,High
384,87,29,3,4,4,Increasing,Low,High,High
385,30,69,3,1,1,Decreasing,High,Low,High
386,98,31,9,9,2,Stable,Medium,High,High
387,33,89,4,3,2,Decreasing,High,High,Low
388,45,41,2,6,2,Decreasing,High,High,Low
389,53,51,7,0,3,Increasing,Low,Low,Low
390,31,20,6,8,1,Decreasing,High,High,Low
391,61,73,4,9,2,Increasing,Low,High,Low
392,53,77,9,0,3,Stable,High,Low,Medium
393,41,89,2,4,3,Decreasing,High,High,High
394,79,37,4,6,0,Decreasing,Medium,High,Low
395,64,25,2,7,3,Increasing,Low,High,High
396,62,64,9,1,4,Increasing,High,High,High
397,62,42,4,3,3,Decreasing,High,Low,High
398,90,42,0,1,4,Increasing,Medium,Low,Medium
399,80,45,5,3,4,Decreasing,Medium,Low,High
400,72,96,9,5,0,Stable,Low,Low,Medium
401,41,26,3,5,0,Decreasing,High,Low,Medium
402,96,98,3,1,3,Stable,Low,High,High
403,94,63,7,10,0,Stable,Low,Low,Medium
404,62,46,1,3,0,Increasing,High,Low,High
405,69,45,3,3,2,Increasing,High,High,High
406,72,98,1,0,3,Increasing,High,Low,Low
407,73,55,0,1,3,Increasing,High,High,High
408,58,74,9,2,3,Decreasing,High,Low,Low
409,42,83,2,10,0,Stable,High,High,High
410,41,76,7,4,0,Decreasing,High,High,High
411,75,88,5,10,4,Stable,Low,Low,Medium
412,31,80,6,7,1,Stable,High,Low,High
413,64,21,1,5,1,Stable,Low,Low,High
414,37,74,5,2,1,Decreasing,High,Low,Low
415,55,99,7,5,2,Increasing,High,High,Low
416,63,57,7,6,0,Decreasing,High,Low,High
417,36,99,3,5,4,Stable,High,High,High
418,97,97,5,9,4,Decreasing,Medium,High,Low
419,87,48,4,5,1,Stable,Low,High,High
420,58,45,8,0,2,Increasing,High,Low,Low
421,65,54,7,2,2,Increasing,Medium,Low,Low
422,50,98,1,6,1,Decreasing,High,High,Low
423,65,86,6,3,1,Increasing,Low,Low,Medium
424,39,48,6,3,0,Stable,High,Low,High
425,53,53,10,6,2,Stable,High,High,Low
426,93,60,0,8,4,Increasing,Low,High,High
427,78,60,0,10,1,Increasing,Medium,High,High
428,65,42,3,1,0,Increasing,Medium,Low,High
429,53,90,4,8,4,Decreasing,High,High,High
430,52,22,3,2,2,Decreasing,High,High,Low
431,91,77,6,5,1,Stable,High,High,Low
432,66,51,2,3,1,Decreasing,High,Low,Low
433,41,50,6,0,0,Decreasing,High,Low,Low
434,84,62,7,8,0,Stable,Low,High,Medium
435,42,26,5,10,2,Stable,High,High,High
436,52,20,5,5,1,Increasing,Low,High,High
437,59,80,7,7,0,Increasing,High,Low,High
438,46,33,7,1,1,Decreasing,High,Low,High
439,91,71,6,6,2,Stable,Medium,High,Medium
440,42,25,5,5,1,Decreasing,High,Low,High
441,88,29,5,1,4,Decreasing,Medium,Low,Low
442,48,90,9,1,1,Stable,High,Low,Low
443,78,49,10,3,3,Stable,Low,Low,High
444,41,40,5,3,3,Stable,High,Low,High
445,90,79,7,2,2,Stable,Medium,High,Low
446,48,93,0,7,2,Decreasing,High,Low,Low
447,38,82,4,6,2,Decreasing,High,High,Low
448,57,61,2,1,4,Decreasing,High,High,High
449,81,70,7,2,4,Stable,Low,Low,High
450,45,83,10,9,1,Increasing,Low,Low,Medium
451,98,95,5,8,0,Decreasing,High,High,Medium
452,41,75,1,4,3,Increasing,Medium,High,High
453,54,99,6,1,3,Increasing,High,Low,Low
454,81,60,6,2,3,Increasing,Medium,Low,High
455,82,51,4,7,1,Stable,Low,High,Low
456,52,34,7,3,1,Stable,High,Low,High
457,45,81,4,1,2,Decreasing,High,Low,High
458,86,46,0,1,0,Decreasing,Medium,Low,Medium
459,68,47,8,5,2,Stable,High,Low,High
460,82,83,3,7,1,Stable,High,High,Low
461,71,78,1,6,4,Increasing,Medium,High,Medium
462,87,77,3,3,2,Stable,Medium,Low,Low
463,68,21,8,1,1,Stable,Low,High,Low
464,43,55,1,8,1,Stable,High,High,Low
465,34,90,3,3,4,Stable,High,Low,Medium
466,64,32,1,8,4,Increasing,High,High,High
467,47,34,4,4,4,Decreasing,High,High,High
468,38,79,2,10,0,Increasing,High,High,Medium
469,87,41,9,10,1,Stable,Low,High,Low
470,46,82,1,6,4,Stable,High,High,High
471,36,94,8,4,0,Decreasing,High,Low,Low
472,75,93,4,1,3,Decreasing,Medium,High,Low
473,42,44,9,5,3,Decreasing,High,Low,Low
474,69,67,4,6,3,Increasing,Medium,High,High
475,71,62,0,10,1,Decreasing,Medium,Low,Medium
476,38,57,5,5,0,Stable,High,High,High
477,79,60,6,2,0,Stable,Medium,Low,Low
478,56,64,0,9,3,Stable,High,High,High
479,95,59,8,7,2,Increasing,Low,High,High
480,34,36,7,2,3,Decreasing,High,Low,High
481,58,76,7,4,1,Decreasing,Medium,Low,Medium
482,66,21,6,8,3,Decreasing,Medium,Low,High
483,67,81,4,10,3,Decreasing,High,High,Medium
484,37,28,2,4,0,Stable,High,High,Low
485,94,87,8,6,3,Increasing,Low,High,High
486,46,36,6,10,4,Decreasing,High,Low,Low
487,74,69,10,6,4,Stable,Low,High,Low
488,33,59,9,4,2,Stable,High,Low,High
489,65,77,9,1,1,Increasing,Low,Low,Low
490,99,94,7,4,1,Decreasing,Low,High,High
491,60,40,5,6,0,Increasing,Medium,High,Low
492,48,37,10,6,1,Decreasing,High,High,Low
493,90,74,4,3,2,Increasing,Medium,Low,Low
494,83,48,7,0,4,Decreasing,Low,Low,High
495,68,43,2,5,0,Decreasing,Low,High,Medium
496,48,93,6,2,4,Increasing,High,High,Low
497,68,36,1,10,2,Decreasing,Medium,High,Low
498,96,37,2,4,0,Increasing,Medium,High,Low
499,74,61,1,3,3,Increasing,Low,Low,Low
500,42,64,4,1,1,Decreasing,High,High,High
501,87,36,6,6,2,Decreasing,Low,Low,High
502,49,92,10,4,0,Increasing,High,High,Low
503,90,33,9,6,4,Stable,Medium,High,Low
504,68,68,10,8,0,Increasing,High,Low,High
505,30,48,10,3,3,Stable,High,Low,High
506,32,23,10,4,2,Stable,High,Low,High
507,91,39,9,8,0,Increasing,Low,Low,Medium
508,92,66,0,9,2,Increasing,Medium,High,Medium
509,54,28,9,10,2,Increasing,Low,High,Medium
510,85,96,8,3,4,Stable,Medium,Low,Medium
511,62,98,0,4,1,Increasing,Low,High,Medium
512,67,46,0,4,3,Increasing,Low,High,Low
513,35,34,9,7,0,Decreasing,High,High,High
514,87,38,7,3,1,Decreasing,Medium,Low,High
515,73,71,5,3,4,Decreasing,Low,Low,Low
516,74,45,5,6,1,Increasing,Low,High,Low
517,61,45,8,10,2,Increasing,Medium,Low,High
518,74,45,3,4,2,Increasing,Low,High,Low
519,90,65,7,5,3,Stable,Medium,High,High
520,76,68,3,5,0,Stable,Medium,High,High
521,50,72,1,5,0,Decreasing,High,High,Medium
522,65,22,10,9,4,Stable,High,High,Low
523,48,85,7,4,3,Stable,High,High,High
524,49,61,6,4,0,Stable,High,High,Medium
525,86,38,3,8,2,Decreasing,Low,High,High
526,47,36,8,7,3,Decreasing,High,Low,High
527,76,52,8,3,1,Stable,Low,High,Medium
528,78,95,7,6,3,Increasing,Low,High,Medium
529,43,68,0,7,3,Decreasing,High,High,High
530,44,75,6,8,0,Stable,High,High,Low
531,60,82,4,4,4,Increasing,High,High,Medium
532,30,22,6,2,4,Increasing,Medium,Low,Medium
533,83,68,8,3,0,Decreasing,Low,Low,Medium
534,32,74,1,9,0,Increasing,High,High,Low
535,45,45,10,5,0,Decreasing,High,High,Low
536,86,91,3,9,4,Stable,Medium,High,Low
537,41,71,3,10,0,Decreasing,High,High,Low
538,45,26,1,4,1,Increasing,High,High,High
539,53,65,2,8,1,Decreasing,High,High,High
540,57,65,10,10,2,Decreasing,High,High,Low
541,37,35,7,10,1,Stable,High,High,High
542,65,43,8,2,3,Increasing,Low,High,High
543,37,80,5,1,2,Decreasing,High,Low,Low
544,87,73,9,5,1,Stable,Low,High,High
545,89,81,1,6,3,Stable,High,High,Low
546,79,20,1,4,1,Stable,Medium,High,Low
547,57,68,6,0,3,Stable,High,Low,Medium
548,70,44,7,2,0,Stable,High,Low,High
549,93,29,7,2,3,Decreasing,Low,High,Low
550,56,99,5,3,0,Decreasing,High,Low,Medium
551,92,35,9,9,3,Increasing,Medium,High,High
552,46,77,7,5,3,Decreasing,High,Low,Low
